URL;Name;Land;Traeger;Promotionsrecht;Gruendung;Studierende;AS;WikiUrl;Stand
http://www.hsbund.de/;Fachhochschule des Bundes für öffentliche Verwaltung;NW;staatlich;nein;1978;1085;AS15598;/wiki/Fachhochschule_des_Bundes_f%C3%BCr_%C3%B6ffentliche_Verwaltung;2012/13 (WS)
http://www.genialdual.de/;Hochschule 21;NI;privat;nein;1971;714;AS12731;/wiki/Hochschule_21;2012/13 (WS)
http://www.campus-calw.de/;SRH Hochschule für Wirtschaft und Medien Calw;BW;privat;nein;1972;299;AS8075;/wiki/SRH_Hochschule_f%C3%BCr_Wirtschaft_und_Medien_Calw;2012/13 (WS)
http://www.tu-chemnitz.de/;Technische Universität Chemnitz;SN;staatlich;ja;1836;11231;AS680;/wiki/Technische_Universit%C3%A4t_Chemnitz;2013/14 (WS)
http://www.tu-clausthal.de/;Technische Universität Clausthal;NI;staatlich;ja;1775;4963;AS680;/wiki/Technische_Universit%C3%A4t_Clausthal;2015/16(WS)
http://www.hs-coburg.de/;Hochschule für angewandte Wissenschaften Coburg;BY;staatlich;nein;1971;4446;AS680;/wiki/Hochschule_f%C3%BCr_angewandte_Wissenschaften_Coburg;2012/13 (WS)
http://www.b-tu.de/;Brandenburgische Technische Universität Cottbus-Senftenberg;BB;staatlich;ja;2013;10310;AS680;/wiki/Brandenburgische_Technische_Universit%C3%A4t_Cottbus-Senftenberg;2012/13 (WS)
http://www.eh-darmstadt.de/;Evangelische Hochschule Darmstadt;HE;konfessionell;nein;1971;1603;AS8365;/wiki/Evangelische_Hochschule_Darmstadt;2012/13 (WS)
http://www.h-da.de/;Hochschule Darmstadt;HE;staatlich;nein;1971;16136;AS8365;/wiki/Hochschule_Darmstadt;2016/17 (WS)
http://www.tu-darmstadt.de/;Technische Universität Darmstadt;HE;staatlich;ja;1877;25100;AS8365;/wiki/Technische_Universit%C3%A4t_Darmstadt;2013/14 (WS)
http://www.th-deg.de/;Technische Hochschule Deggendorf;BY;staatlich;nein;1994;5760;AS680;/wiki/Technische_Hochschule_Deggendorf;2015/16 (WS)
http://www.hfm-detmold.de/;Hochschule für Musik Detmold;NW;staatlich;ja;1946;646;AS20773;/wiki/Hochschule_f%C3%BCr_Musik_Detmold;2012/13 (WS)
http://www.fh-dortmund.de/;Fachhochschule Dortmund;NW;staatlich;nein;1971;13559;AS680;/wiki/Fachhochschule_Dortmund;2015/16 (WS)
http://www.ism.de/;International School of Management;NW;privat;nein;1990;2190;AS20773;/wiki/International_School_of_Management;2013/14 (SS)
http://www.tu-dortmund.de/;Technische Universität Dortmund;NW;staatlich;ja;1968;34235;AS680;/wiki/Technische_Universit%C3%A4t_Dortmund;2016/17 (WS)
