URL; name; popularity; active; origin; first release; first release date; release count; last release date; last release; distrowatch url
http://www.karoshi.org.uk/; karoshi; 171 (46 hits per day); Active; United Kingdom;6.0; 2009-06-18;6;2017-08-13;11.1;http://distrowatch.com/karoshi
http://www.knoppix.org/; knoppix; 47 (231 hits per day); Active; Germany;3.1; 2003-01-19;22;2017-09-28;8.1;http://distrowatch.com/knoppix
http://www.kubuntu.org/; kubuntu; 44 (242 hits per day); Active; Isle of Man;5.04hoary; 2005-03-30;26;2017-10-19;17.10artful;http://distrowatch.com/kubuntu
http://www.lakka.tv/; lakka; 46 (234 hits per day); Active; France;20161221; 2016-12-22;3;2017-11-28;2.1;http://distrowatch.com/lakka
http://www.laptop.org/; olpc; 224 (34 hits per day); Active; USA;11.3.0; 2011-11-01;3;2017-12-21;13.2.9;http://distrowatch.com/olpc
http://www.leeenux-linux.com/; leeenux; 221 (34 hits per day); Active; Serbia;5.1; 2011-12-05;3;2016-07-22;10;http://distrowatch.com/leeenux
http://www.linhes.org/; linhes; 170 (47 hits per day); Active; USA;4.4; 2004-06-14;5;2017-12-12;8.5.1;http://distrowatch.com/linhes
http://www.linspirelinux.com/; linspire; 230 (33 hits per day); Active; USA;3.0; 2002-11-18;7;2018-01-01;7.0;http://distrowatch.com/linspire
http://www.linuxconsole.org/; linuxconsole; 147 (58 hits per day); Active; France;0.3.1; 2003-05-07;10;2017-12-30;2018;http://distrowatch.com/linuxconsole
http://www.linuxfromscratch.org/; lfs; 162 (51 hits per day); Active; Canada;1.3; 2000-02-11;33;2018-01-13;unstable;http://distrowatch.com/lfs
http://www.linuxfx.org/; linuxfx; 255 (28 hits per day); Active; Brazil;7.4.2; 2016-05-16;2;2017-07-06;8.0.2;http://distrowatch.com/linuxfx
http://www.linuxliteos.com/; lite; 20 (464 hits per day); Active; New Zealand;1.0.8; 2014-01-16;3;2017-08-31;3.6;http://distrowatch.com/lite
http://www.lliurex.net/; lliurex; 192 (40 hits per day); Active; Spain;5.05; 2005-09-26;9;2017-07-31;16.06;http://distrowatch.com/lliurex
http://www.lunar-linux.org/; lunar; 197 (39 hits per day); Active; USA;1.1.2nano; 2002-11-26;11;2018-01-22;moonbase;http://distrowatch.com/lunar
http://www.macrolinux.ml/; beefree; 186 (41 hits per day); Active; Mali;18.1.2; 2017-05-27;1;2017-05-27;18.1.2;http://distrowatch.com/beefree
http://www.mageia.org/; mageia; 24 (360 hits per day); Active; France;1; 2011-06-01;7;2018-01-22;cauldron;http://distrowatch.com/mageia
http://www.makululinux.com/; makulu; 134 (65 hits per day); Active; South Africa;4.3; 2013-11-28;6;2018-01-01;14;http://distrowatch.com/makulu
http://www.metamorphoselinux.net/; metamorphose; 222 (34 hits per day); Active; Brazil;7.1.8; 2015-01-20;3;2016-11-26;8.5.7;http://distrowatch.com/metamorphose
http://www.midnightbsd.org/; midnightbsd; 223 (34 hits per day); Active; USA;0.1.1; 2007-11-09;8;2016-08-14;0.8;http://distrowatch.com/midnightbsd
http://www.minix3.org/; minix; 173 (46 hits per day); Active; Netherlands;3.1.8; 2010-10-04;4;2017-05-09;3.4.0-rc6;http://distrowatch.com/minix
http://www.mirbsd.org/; miros; 209 (37 hits per day); Active; Germany;#8; 2005-12-24;2;2008-03-16;#10;http://distrowatch.com/miros
http://www.nas4free.org/; nas4free; 119 (84 hits per day); Active; Netherlands;9.3.0.2; 2015-04-12;4;2018-01-01;11.1.0.4;http://distrowatch.com/nas4free
http://www.netbsd.org/; netbsd; 145 (59 hits per day); Active; USA;1.6; 2002-09-16;11;2018-01-22;pkgsrc;http://distrowatch.com/netbsd
